confirmed,date
1,14-Mar-20
0,15-Mar-20
0,16-Mar-20
0,17-Mar-20
1,18-Mar-20
0,19-Mar-20
1,20-Mar-20
10,21-Mar-20
8,22-Mar-20
2,23-Mar-20
6,24-Mar-20
2,25-Mar-20
2,26-Mar-20
5,27-Mar-20
0,28-Mar-20
0,29-Mar-20
3,30-Mar-20
1,31-Mar-20
4,01-Apr-20
1,02-Apr-20
6,03-Apr-20
12,04-Apr-20
3,05-Apr-20
11,06-Apr-20
20,07-Apr-20
7,08-Apr-20
24,09-Apr-20
21,10-Apr-20
7,11-Apr-20
12,12-Apr-20
6,13-Apr-20
8,14-Apr-20
2,15-Apr-20
11,16-Apr-20
14,17-Apr-20
23,18-Apr-20
10,19-Apr-20
1,20-Apr-20
6,21-Apr-20
27,22-Apr-20
5,23-Apr-20
15,24-Apr-20
10,25-Apr-20
14,26-Apr-20
8,27-Apr-20
12,28-Apr-20
33,29-Apr-20
105,30-Apr-20
105,01-May-20
187,02-May-20
330,03-May-20
130,04-May-20
219,05-May-20
75,06-May-20
118,07-May-20
87,08-May-20
31,09-May-20
61,10-May-20
54,11-May-20
37,12-May-20
10,13-May-20
11,14-May-20
-3,15-May-20
14,16-May-20
18,17-May-20
16,18-May-20
22,19-May-20
3,20-May-20
23,21-May-20
1,22-May-20
16,23-May-20
15,24-May-20
21,25-May-20
25,26-May-20
33,27-May-20
19,28-May-20
39,29-May-20
36,30-May-20
30,31-May-20
38,01-Jun-20
41,02-Jun-20
34,03-Jun-20
39,04-Jun-20
46,05-Jun-20
54,06-Jun-20
93,07-Jun-20
55,08-Jun-20
56,09-Jun-20
86,10-Jun-20
82,11-Jun-20
99,12-Jun-20
77,13-Jun-20
77,14-Jun-20
127,15-Jun-20
104,16-Jun-20
126,17-Jun-20
118,18-Jun-20
217,19-Jun-20
120,20-Jun-20
122,21-Jun-20
161,22-Jun-20
162,23-Jun-20
230,24-Jun-20
142,25-Jun-20
188,26-Jun-20
99,27-Jun-20
160,28-Jun-20
202,29-Jun-20
150,30-Jun-20
100,01-Jul-20
116,02-Jul-20
153,03-Jul-20
172,04-Jul-20
174,05-Jul-20
208,06-Jul-20
258,07-Jul-20
158,08-Jul-20
233,09-Jul-20
217,10-Jul-20
230,11-Jul-20
234,12-Jul-20
357,13-Jul-20
333,14-Jul-20
288,15-Jul-20
295,16-Jul-20
348,17-Jul-20
350,18-Jul-20
308,19-Jul-20
410,20-Jul-20
379,21-Jul-20
412,22-Jul-20
438,23-Jul-20
477,24-Jul-20
468,25-Jul-20
534,26-Jul-20
551,27-Jul-20
609,28-Jul-20
568,29-Jul-20
510,30-Jul-20
663,31-Jul-20
944,01-Aug-20
790,02-Aug-20
674,03-Aug-20
488,04-Aug-20
